,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
0,Artemis Fowl,202,4.0,31.0,7466.0,PG,https://imdb.com/title/tt3089630/,40.0
1,The King of Staten Island,202,7.2,68.0,5979.0,R,https://imdb.com/title/tt9686708/,72.0
2,Da 5 Bloods,202,6.8,81.0,12663.0,R,https://imdb.com/title/tt9777644/,68.0
3,You Should Have Left,202,,,,R,https://imdb.com/title/tt8201852/,
4,Becky,202,5.7,53.0,2823.0,R,https://imdb.com/title/tt10314450/,57.0
5,The Hunt,202,6.4,50.0,39901.0,R,https://imdb.com/title/tt8244784/,64.0
6,Shirley,202,6.1,77.0,2052.0,R,https://imdb.com/title/tt8430598/,61.0
7,The Invisible Man,202,7.1,72.0,107973.0,R,https://imdb.com/title/tt1051906/,71.0
8,The Night Clerk,202,5.3,44.0,4008.0,R,https://imdb.com/title/tt7979142/,53.0
9,Extraction,202,6.8,56.0,122752.0,R,https://imdb.com/title/tt8936646/,68.0
10,Eurovision Song Contest: The Story of Fire Saga,202,,,,PG-13,https://imdb.com/title/tt8580274/,
11,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,202,6.1,60.0,119912.0,R,https://imdb.com/title/tt7713068/,61.0
12,Bad Boys for Life,202,6.7,59.0,99196.0,R,https://imdb.com/title/tt1502397/,67.0
13,No Time to Die,202,,,,PG-13,https://imdb.com/title/tt2382320/,
14,Wonder Woman 1984,202,,,,PG-13,https://imdb.com/title/tt7126948/,
15,Scoob!,202,5.8,43.0,9140.0,PG,https://imdb.com/title/tt3152592/,58.0
16,Mulan,202,,,,PG-13,https://imdb.com/title/tt4566758/,
17,The Lovebirds,202,6.0,59.0,13375.0,R,https://imdb.com/title/tt8851668/,60.0
18,Capone,202,4.8,46.0,8744.0,R,https://imdb.com/title/tt6199572/,48.0
19,Onward,202,7.5,61.0,64910.0,PG,https://imdb.com/title/tt7146812/,75.0
20,Greyhound,202,,,,PG-13,https://imdb.com/title/tt6048922/,
21,Fantasy Island,202,4.8,22.0,22106.0,PG-13,https://imdb.com/title/tt0983946/,48.0
22,Sonic the Hedgehog,202,6.6,47.0,66702.0,PG,https://imdb.com/title/tt3794354/,66.0
23,Bloodshot,202,5.7,44.0,42066.0,PG-13,https://imdb.com/title/tt1634106/,57.0
24,Emma.,202,6.8,71.0,16193.0,PG,https://imdb.com/title/tt9214832/,68.0
25,Unhinged,202,,,,R,https://imdb.com/title/tt10059518/,
26,Dolittle,202,5.6,26.0,35339.0,PG,https://imdb.com/title/tt6673612/,56.0
27,Underwater,202,5.8,48.0,42470.0,PG-13,https://imdb.com/title/tt5774060/,58.0
28,The Half of It,202,7.0,74.0,18727.0,PG-13,https://imdb.com/title/tt9683478/,70.0
29,The High Note,202,6.0,58.0,1484.0,PG-13,https://imdb.com/title/tt9308382/,60.0
30,Trolls World Tour,202,6.1,51.0,8637.0,PG,https://imdb.com/title/tt6587640/,61.0
31,The Call of the Wild,202,6.8,47.0,24705.0,PG,https://imdb.com/title/tt7504726/,68.0
32,Monster Hunter,202,,,,PG-13,https://imdb.com/title/tt6475714/,
33,The Outpost,202,,,,R,https://imdb.com/title/tt3833480/,
34,Think Like a Dog,202,4.8,,192.0,PG,https://imdb.com/title/tt5929654/,48.0
35,Spenser Confidential,202,6.2,49.0,56174.0,R,https://imdb.com/title/tt8629748/,62.0
36,A Quiet Place Part II,202,,,,PG-13,https://imdb.com/title/tt8332922/,
37,The Way Back,202,6.8,68.0,19122.0,R,https://imdb.com/title/tt8544498/,68.0
38,I Still Believe,202,6.6,41.0,4658.0,PG,https://imdb.com/title/tt9779516/,66.0
39,The SpongeBob Movie: Sponge On The Run,202,,,,PG,https://imdb.com/title/tt4823776/,
40,Survive the Night,202,4.8,26.0,2961.0,R,https://imdb.com/title/tt10303324/,48.0
41,Justice League Dark: Apokolips War,202,7.8,,10198.0,R,https://imdb.com/title/tt11079148/,78.0
42,Gretel & Hansel,202,5.3,64.0,15237.0,PG-13,https://imdb.com/title/tt9086228/,53.0
43,The Old Guard,202,,,,R,https://imdb.com/title/tt7556122/,
44,The French Dispatch,202,,,,R,https://imdb.com/title/tt8847712/,
45,Sniper: Assassin's End,202,5.7,,79.0,R,https://imdb.com/title/tt12305696/,57.0
46,The New Mutants,202,,,,PG-13,https://imdb.com/title/tt4682266/,
47,Arkansas,202,5.9,56.0,2981.0,R,https://imdb.com/title/tt9139586/,59.0
48,The Willoughbys,202,6.4,68.0,9385.0,PG,https://imdb.com/title/tt5206260/,64.0
49,Roped,202,5.3,,535.0,PG,https://imdb.com/title/tt8523028/,53.0
50,The Rhythm Section,202,5.2,45.0,7464.0,R,https://imdb.com/title/tt7134096/,52.0
51,The Grudge,202,4.2,41.0,15186.0,R,https://imdb.com/title/tt3612126/,42.0
52,Escape from Pretoria,202,6.8,56.0,11655.0,PG-13,https://imdb.com/title/tt5797184/,68.0
53,The Banker,202,7.2,59.0,11323.0,PG-13,https://imdb.com/title/tt6285944/,72.0
54,My Spy,202,6.2,44.0,8801.0,PG-13,https://imdb.com/title/tt8242084/,62.0
55,The Last Thing He Wanted,202,4.2,35.0,10575.0,R,https://imdb.com/title/tt7456312/,42.0
56,Lost Girls,202,6.1,67.0,12895.0,R,https://imdb.com/title/tt3111426/,61.0
57,Valley Girl,202,5.4,53.0,939.0,PG-13,https://imdb.com/title/tt1266036/,54.0
58,Viena and the Fantomes,202,,,,R,https://imdb.com/title/tt3344686/,
59,The Turning,202,3.8,35.0,6597.0,PG-13,https://imdb.com/title/tt7510346/,38.0
60,Last Moment of Clarity,202,5.1,,728.0,R,https://imdb.com/title/tt1929297/,51.0
61,Brahms: The Boy II,202,4.6,29.0,6859.0,PG-13,https://imdb.com/title/tt9173418/,46.0
62,Lady Driver,202,6.0,,488.0,PG,https://imdb.com/title/tt7562334/,60.0
63,Like a Boss,202,4.4,33.0,6434.0,R,https://imdb.com/title/tt7545266/,44.0
64,Mortal Kombat Legends: Scorpion's Revenge,202,7.5,,8005.0,R,https://imdb.com/title/tt9580138/,75.0
65,Horse Girl,202,5.9,61.0,11516.0,R,https://imdb.com/title/tt11388406/,59.0
66,Downhill,202,4.8,49.0,4736.0,R,https://imdb.com/title/tt4558376/,48.0
67,Body Cam,202,5.2,37.0,851.0,R,https://imdb.com/title/tt8179024/,52.0
68,Sergio,202,6.1,55.0,6242.0,R,https://imdb.com/title/tt8750570/,61.0
69,The Quarry,202,5.1,53.0,876.0,R,https://imdb.com/title/tt10151054/,51.0
70,The Secret Garden,202,,,,PG,https://imdb.com/title/tt2702920/,
71,Hamilton,202,,,,PG-13,https://imdb.com/title/tt8503618/,
72,Never Rarely Sometimes Always,202,7.2,91.0,4070.0,PG-13,https://imdb.com/title/tt7772582/,72.0
73,Knives Out,201,7.9,82.0,324379.0,PG-13,https://imdb.com/title/tt8946378/,79.0
74,Uncut Gems,201,7.5,90.0,179939.0,R,https://imdb.com/title/tt5727208/,75.0
